order_id,customer_id,order_date,status,payment_method,shipping_country,total_amount
81,203,2023-09-01,remboursé,carte_bancaire,Sénégal,669.67
82,472,2023-12-12,livré,paypal,Belgique,751.16
83,144,2024-12-02,annulé,carte_bancaire,Allemagne,1717.89
84,69,2023-11-25,livré,paypal,Tunisie,1490.01
85,310,2023-08-05,en cours,cash_on_delivery,Sénégal,383.99
86,389,2023-02-27,livré,apple_pay,Espagne,754.08
87,34,2023-05-19,livré,apple_pay,USA,1018.52
88,15,2023-07-25,livré,carte_bancaire,Allemagne,1751.61
89,17,2024-12-22,livré,virement,Belgique,1836.88
90,189,2024-10-12,annulé,carte_bancaire,France,1015.2
91,124,2023-07-01,livré,cash_on_delivery,USA,1192.15
92,283,2023-09-22,livré,carte_bancaire,Belgique,335.39
93,15,2024-08-08,livré,virement,Allemagne,334.19
94,332,2024-10-29,livré,cash_on_delivery,Canada,421.39
95,11,2024-11-29,remboursé,carte_bancaire,Sénégal,1934.61
96,467,2023-01-09,livré,virement,Belgique,354.67
97,312,2024-12-27,annulé,paypal,Tunisie,617.86
98,459,2023-09-16,livré,virement,Sénégal,703.93
99,155,2024-02-11,en cours,apple_pay,Maroc,1650.38
100,4,2024-01-19,livré,apple_pay,USA,1328.09
101,312,2024-05-08,livré,carte_bancaire,Italie,1371.98
102,142,2023-09-25,en cours,paypal,Allemagne,1724.37
103,77,2023-02-28,livré,apple_pay,Tunisie,488.2
104,339,2023-01-27,livré,cash_on_delivery,Belgique,288.46
105,133,2023-02-06,expédié,apple_pay,USA,815.15
106,418,2023-08-16,livré,apple_pay,Sénégal,1455.83
107,465,2023-11-04,expédié,virement,Canada,723.41
108,93,2023-09-22,livré,apple_pay,Espagne,946.85
109,485,2023-04-02,en cours,virement,Italie,677.91
110,115,2023-12-06,en cours,paypal,Belgique,621.1
111,300,2024-04-26,livré,carte_bancaire,USA,1703.92
112,298,2023-07-19,expédié,apple_pay,Maroc,151.72
113,445,2024-02-28,en cours,carte_bancaire,Espagne,1064.38
114,71,2024-08-06,expédié,cash_on_delivery,Espagne,691.91
115,162,2023-03-24,remboursé,cash_on_delivery,Italie,368.91
116,324,2023-03-01,expédié,carte_bancaire,Sénégal,633.69
117,141,2024-08-13,livré,virement,Sénégal,1549.35
118,403,2024-09-21,annulé,cash_on_delivery,Tunisie,185.2
119,207,2023-01-05,livré,carte_bancaire,Canada,960.03
120,103,2023-11-26,en cours,apple_pay,Allemagne,1900.64
121,10,2023-09-12,en cours,virement,Italie,1257.11
122,160,2024-08-25,livré,paypal,Espagne,773.27
123,34,2023-10-25,annulé,cash_on_delivery,Canada,603.42
124,306,2024-12-04,livré,virement,Italie,872.99
125,462,2023-06-18,livré,cash_on_delivery,France,1502.73
126,117,2023-08-05,livré,carte_bancaire,USA,1969.91
127,259,2024-10-28,livré,carte_bancaire,Tunisie,739.52
128,449,2024-09-30,en cours,carte_bancaire,USA,1544.79
129,25,2023-01-21,en cours,carte_bancaire,Maroc,1310.6
130,214,2023-09-16,livré,cash_on_delivery,Espagne,255.95
131,106,2023-11-05,en cours,cash_on_delivery,Maroc,1264.32
132,340,2024-12-18,livré,virement,Tunisie,1249.37
133,426,2024-09-24,remboursé,carte_bancaire,Belgique,1028.05
134,59,2024-09-15,annulé,virement,Belgique,1000.5
135,426,2024-12-21,livré,cash_on_delivery,Belgique,411.33
136,83,2023-08-01,livré,cash_on_delivery,Italie,997.75
137,121,2023-04-24,livré,apple_pay,Sénégal,1346.55
138,77,2023-03-18,expédié,carte_bancaire,Belgique,1561.26
139,330,2023-10-31,livré,paypal,Sénégal,1977.45
140,26,2023-02-10,livré,paypal,Italie,357.66
141,411,2023-04-29,en cours,carte_bancaire,France,857.73
142,5,2023-06-24,remboursé,paypal,Italie,1330.08
143,458,2023-04-06,livré,paypal,Italie,1247.4
144,94,2024-04-12,livré,paypal,Tunisie,806.5
145,354,2024-10-26,remboursé,virement,Maroc,1601.8
146,68,2023-06-13,en cours,carte_bancaire,Tunisie,126.71
147,467,2024-11-25,livré,cash_on_delivery,Espagne,1606.51
148,313,2023-01-30,livré,virement,Sénégal,723.61
149,472,2024-03-27,livré,carte_bancaire,Maroc,1776.31
150,134,2024-11-25,en cours,apple_pay,USA,34.6
151,371,2024-11-16,livré,paypal,Canada,1956.01
152,268,2024-03-19,en cours,virement,Sénégal,1240.3
153,178,2023-06-02,en cours,apple_pay,USA,1286.39
154,28,2024-06-01,livré,cash_on_delivery,Sénégal,1869.4
155,446,2023-11-25,livré,virement,Italie,1505.35
156,497,2024-07-17,livré,cash_on_delivery,Tunisie,1018.79
157,419,2024-08-09,livré,cash_on_delivery,Maroc,923.6
158,439,2024-05-24,livré,carte_bancaire,Maroc,638.96
159,207,2023-01-01,livré,carte_bancaire,USA,1118.69
160,494,2024-06-04,en cours,apple_pay,Allemagne,616.15
161,336,2024-01-08,en cours,carte_bancaire,Allemagne,1901.21
162,433,2024-09-26,livré,apple_pay,Sénégal,1124.7
163,367,2023-04-27,en cours,carte_bancaire,Allemagne,1434.67
164,2,2023-10-26,livré,apple_pay,Canada,1661.47
165,192,2023-06-18,en cours,cash_on_delivery,Espagne,101.1
166,421,2023-04-20,en cours,paypal,USA,1445.9
167,101,2024-02-07,livré,virement,Sénégal,1861.13
168,423,2023-04-21,annulé,cash_on_delivery,France,1436.41
169,475,2023-05-07,en cours,cash_on_delivery,Sénégal,1347.56
170,338,2024-05-25,livré,carte_bancaire,Canada,1013.35
171,377,2024-08-22,livré,cash_on_delivery,Canada,1871.26
172,400,2024-08-15,expédié,virement,Espagne,362.63
173,54,2023-11-26,livré,apple_pay,Tunisie,1205.09
174,215,2023-09-12,expédié,paypal,Tunisie,1832.66
175,494,2023-05-17,livré,virement,Tunisie,595.41
176,309,2023-11-03,en cours,apple_pay,Italie,1499.37
177,365,2023-08-11,en cours,virement,Allemagne,1111.63
178,320,2024-11-19,en cours,virement,Espagne,1376.36
179,258,2024-12-28,livré,carte_bancaire,Italie,1277.39
180,288,2024-11-14,livré,cash_on_delivery,Canada,1145.57
181,147,2023-01-14,remboursé,apple_pay,Maroc,850.55
182,13,2023-02-27,livré,virement,Belgique,115.6
183,385,2024-11-30,annulé,paypal,Espagne,1967.23
184,430,2023-07-28,livré,apple_pay,France,1570.87
185,184,2024-11-22,annulé,apple_pay,Allemagne,213.94
186,381,2024-06-07,en cours,paypal,France,783.88
187,475,2024-12-02,livré,paypal,Canada,838.97
188,28,2024-09-27,livré,cash_on_delivery,Allemagne,510.17
189,467,2024-01-12,en cours,apple_pay,Canada,1422.0
190,379,2023-07-18,en cours,paypal,Sénégal,1554.53
191,91,2023-06-27,expédié,apple_pay,Maroc,158.19
192,194,2023-09-28,livré,virement,Espagne,565.43
193,300,2024-04-22,annulé,virement,France,21.23
194,79,2024-10-02,expédié,apple_pay,Belgique,1197.79
195,252,2023-03-16,annulé,paypal,Canada,1104.82
196,113,2024-06-01,expédié,virement,Tunisie,1046.01
197,279,2023-08-15,livré,virement,Italie,192.97
198,170,2024-09-25,livré,apple_pay,Sénégal,444.71
199,288,2023-01-10,annulé,carte_bancaire,Italie,1962.46
200,229,2024-09-28,livré,virement,France,1288.11
201,350,2023-04-27,remboursé,cash_on_delivery,Belgique,768.93
202,277,2024-06-13,en cours,paypal,Canada,59.16
203,412,2023-10-31,livré,virement,Italie,978.74
204,264,2024-07-04,livré,apple_pay,France,200.95
205,321,2023-08-07,livré,cash_on_delivery,Maroc,1343.97
206,106,2024-03-21,livré,carte_bancaire,Espagne,1408.46
207,13,2023-03-31,livré,carte_bancaire,France,670.11
208,92,2024-08-11,annulé,virement,Belgique,1120.59
209,209,2024-03-19,livré,paypal,France,1264.13
210,200,2024-10-18,en cours,apple_pay,Maroc,1074.32
211,388,2023-03-16,en cours,paypal,Canada,100.58
212,55,2024-09-13,livré,carte_bancaire,Belgique,1374.9
213,392,2024-11-07,expédié,carte_bancaire,Sénégal,769.01
214,81,2024-02-05,livré,apple_pay,Belgique,281.4
215,492,2024-10-25,en cours,paypal,France,603.13
216,284,2023-02-12,remboursé,carte_bancaire,USA,291.33
217,306,2023-03-29,livré,paypal,Allemagne,1099.58
218,384,2023-08-05,en cours,cash_on_delivery,Canada,1454.62
219,73,2023-09-16,livré,virement,Maroc,449.37
220,93,2023-02-25,en cours,apple_pay,Sénégal,1138.91
221,331,2023-03-10,livré,paypal,Maroc,588.4
222,102,2023-12-05,en cours,paypal,Espagne,979.51
223,344,2024-09-26,en cours,carte_bancaire,Allemagne,209.09
224,163,2024-11-06,livré,paypal,USA,663.41
225,79,2023-11-20,livré,cash_on_delivery,Espagne,735.34
226,3,2024-12-30,livré,cash_on_delivery,Belgique,1573.46
227,431,2023-12-06,livré,cash_on_delivery,Sénégal,1362.36
228,229,2024-07-18,livré,carte_bancaire,Espagne,617.89
229,331,2023-05-24,en cours,apple_pay,Allemagne,1685.17
230,135,2023-03-19,en cours,carte_bancaire,Canada,1256.97
231,324,2024-02-19,livré,apple_pay,Allemagne,1167.96
232,465,2024-07-06,livré,cash_on_delivery,Espagne,528.63
233,188,2024-08-26,livré,paypal,Espagne,1783.96
234,238,2024-01-08,livré,apple_pay,France,190.2
235,340,2024-09-20,livré,virement,Canada,1928.36
236,72,2024-08-02,livré,virement,Sénégal,366.5
237,481,2024-05-14,livré,virement,Maroc,445.45
238,136,2023-07-31,livré,apple_pay,Italie,95.19
239,199,2023-02-17,livré,carte_bancaire,Italie,914.74
240,53,2023-10-08,en cours,paypal,USA,1047.53
241,279,2024-01-23,livré,paypal,USA,759.55
242,335,2023-09-15,remboursé,cash_on_delivery,Allemagne,164.9
243,265,2023-12-20,livré,cash_on_delivery,Sénégal,1636.3
244,455,2023-05-23,en cours,cash_on_delivery,Espagne,1008.66
245,118,2023-08-05,livré,virement,Espagne,1290.52
246,81,2023-05-02,livré,virement,Tunisie,1437.43
247,416,2024-11-22,livré,cash_on_delivery,Sénégal,235.54
248,108,2024-02-25,livré,carte_bancaire,Allemagne,1298.05
249,23,2023-05-18,livré,apple_pay,France,1188.77
250,457,2023-09-22,livré,virement,Canada,121.26
251,491,2024-10-14,livré,carte_bancaire,Belgique,1938.79
252,485,2024-04-27,livré,cash_on_delivery,Espagne,903.91
253,113,2024-08-19,annulé,virement,USA,1205.67
254,338,2024-12-03,livré,paypal,Sénégal,343.77
255,306,2024-01-30,livré,virement,Maroc,467.33
256,9,2024-05-31,livré,cash_on_delivery,Espagne,1720.59
257,311,2024-09-21,livré,apple_pay,France,956.98
258,450,2023-05-01,annulé,carte_bancaire,Sénégal,1011.63
259,338,2023-01-02,livré,cash_on_delivery,Canada,1210.91
260,216,2024-06-26,livré,cash_on_delivery,Allemagne,96.44
261,481,2024-01-26,annulé,paypal,USA,1581.22
262,412,2024-12-14,en cours,apple_pay,Maroc,1525.46
263,218,2023-08-27,livré,carte_bancaire,Belgique,959.51
264,307,2023-07-13,remboursé,carte_bancaire,France,823.21
265,296,2024-01-20,livré,virement,Italie,1044.33
266,210,2024-10-29,livré,apple_pay,Belgique,318.01
267,134,2024-01-10,remboursé,apple_pay,Belgique,852.89
268,349,2024-07-19,livré,apple_pay,Sénégal,415.35
269,92,2023-09-17,livré,paypal,USA,1114.27
270,177,2023-05-22,annulé,carte_bancaire,Allemagne,802.28
271,229,2023-04-13,annulé,virement,Canada,1899.0
272,206,2024-09-20,annulé,carte_bancaire,Espagne,1603.7
273,200,2023-04-04,expédié,virement,Sénégal,20.53
274,475,2023-09-27,en cours,virement,Italie,185.4
275,41,2024-02-15,en cours,apple_pay,Canada,1451.74
276,147,2023-06-29,en cours,cash_on_delivery,Sénégal,1198.97
277,6,2024-06-14,livré,paypal,Allemagne,1317.2
278,18,2024-12-16,annulé,virement,USA,1025.99
279,87,2024-11-01,en cours,carte_bancaire,Espagne,725.88
280,45,2023-12-28,expédié,cash_on_delivery,Tunisie,1561.55
281,301,2024-12-21,livré,carte_bancaire,Maroc,40.58
282,282,2024-08-19,livré,paypal,Italie,1661.23
283,494,2023-07-19,annulé,cash_on_delivery,Tunisie,460.33
284,295,2024-06-02,livré,carte_bancaire,Canada,358.32
285,38,2023-04-30,livré,apple_pay,Belgique,686.53
286,449,2023-09-14,livré,cash_on_delivery,Tunisie,1588.84
287,289,2023-12-14,livré,cash_on_delivery,Sénégal,494.11
288,460,2023-04-30,livré,paypal,Maroc,64.43
289,196,2024-11-24,en cours,virement,Italie,1988.45
290,212,2023-01-10,expédié,paypal,Allemagne,1037.84
291,148,2023-12-17,livré,carte_bancaire,Canada,1350.66
292,477,2023-08-12,livré,apple_pay,Belgique,634.61
293,94,2023-07-14,expédié,cash_on_delivery,Allemagne,1369.38
294,121,2023-07-31,en cours,virement,Allemagne,1746.76
295,428,2023-06-09,livré,carte_bancaire,Maroc,1241.01
296,472,2024-05-19,livré,apple_pay,France,1912.0
297,392,2024-05-08,remboursé,paypal,USA,1916.41
298,162,2024-08-11,livré,paypal,Sénégal,1970.87
299,94,2023-10-14,expédié,cash_on_delivery,Allemagne,1832.85
300,385,2024-03-09,livré,cash_on_delivery,Canada,117.75
301,17,2024-12-03,livré,virement,Sénégal,793.5
302,500,2023-11-20,livré,carte_bancaire,France,1041.23
303,346,2023-11-30,livré,paypal,USA,1166.21
304,442,2023-08-31,livré,paypal,Sénégal,1101.64
305,491,2024-05-25,en cours,cash_on_delivery,Allemagne,738.19
306,215,2024-02-15,en cours,paypal,Sénégal,750.9
307,93,2024-12-03,livré,virement,Maroc,1958.75
308,370,2024-03-18,livré,cash_on_delivery,Allemagne,479.25
309,75,2024-04-29,annulé,carte_bancaire,Espagne,1479.7
310,216,2024-10-07,livré,apple_pay,Canada,1991.17
311,369,2023-09-14,livré,apple_pay,USA,978.37
312,25,2023-03-03,livré,virement,Belgique,1384.18
313,244,2023-12-09,annulé,paypal,Italie,201.64
314,185,2023-09-21,livré,paypal,France,1864.37
315,211,2024-09-12,livré,virement,USA,1736.06
316,295,2023-10-19,en cours,paypal,Italie,1081.49
317,345,2024-04-02,livré,carte_bancaire,Tunisie,1551.74
318,315,2023-05-29,livré,virement,Italie,1267.11
319,216,2023-03-15,en cours,carte_bancaire,Espagne,1147.56
320,176,2023-10-26,livré,paypal,USA,640.59
321,331,2024-01-07,livré,apple_pay,Canada,1776.51
322,495,2023-01-24,livré,virement,Allemagne,342.96
323,339,2023-03-23,livré,virement,Espagne,1490.31
324,204,2024-04-29,livré,apple_pay,France,136.95
325,14,2023-03-27,annulé,carte_bancaire,Belgique,1052.73
326,317,2024-02-04,livré,paypal,Allemagne,1313.12
327,127,2023-05-10,en cours,virement,Canada,891.89
328,430,2024-01-01,livré,paypal,Sénégal,79.96
329,240,2023-10-06,expédié,apple_pay,Sénégal,1085.76
330,70,2023-07-01,expédié,apple_pay,USA,1398.27
331,234,2024-07-31,en cours,cash_on_delivery,Canada,1275.34
332,328,2023-12-22,en cours,cash_on_delivery,Canada,626.23
333,117,2024-01-10,annulé,cash_on_delivery,Belgique,889.3
334,80,2023-05-20,livré,paypal,Belgique,10.18
335,241,2024-05-18,livré,cash_on_delivery,Belgique,1378.66
336,5,2024-09-03,annulé,virement,France,1597.95
337,281,2024-07-28,livré,cash_on_delivery,Tunisie,829.35
338,128,2024-02-04,livré,cash_on_delivery,Allemagne,1476.86
339,135,2024-06-13,livré,apple_pay,Belgique,1254.39
340,146,2023-10-03,en cours,cash_on_delivery,Allemagne,1068.57
341,437,2023-04-24,livré,cash_on_delivery,USA,281.88
342,232,2023-07-12,livré,paypal,France,1249.28
343,78,2023-07-10,livré,carte_bancaire,Belgique,1074.59
344,138,2023-01-09,livré,virement,Maroc,882.45
345,78,2024-03-06,livré,paypal,Sénégal,442.2
346,191,2023-12-05,livré,carte_bancaire,Espagne,1584.94
347,29,2024-07-10,livré,cash_on_delivery,Espagne,790.92
348,99,2024-01-26,remboursé,carte_bancaire,Maroc,507.66
349,499,2024-03-29,annulé,virement,France,505.44
350,102,2024-06-17,livré,virement,Sénégal,1544.28
351,200,2023-11-27,en cours,virement,France,631.1
352,382,2023-09-17,expédié,cash_on_delivery,Belgique,1046.64
353,102,2024-11-13,livré,virement,Maroc,113.65
354,121,2023-06-21,en cours,paypal,USA,655.78
355,62,2023-02-13,livré,apple_pay,Sénégal,493.75
356,353,2023-04-02,livré,virement,Espagne,749.08
357,256,2024-10-02,livré,carte_bancaire,France,1241.1
358,183,2023-04-20,en cours,virement,Sénégal,1405.64
359,120,2024-10-22,livré,paypal,Sénégal,1121.12
360,376,2024-01-02,livré,virement,Belgique,1381.61
361,461,2024-07-26,livré,paypal,Canada,1416.19
362,357,2024-07-10,livré,paypal,Italie,1137.74
363,375,2024-09-05,livré,apple_pay,Espagne,1736.65
364,36,2023-09-27,livré,apple_pay,Italie,904.27
365,233,2024-01-24,livré,virement,France,1279.67
366,318,2023-09-02,remboursé,paypal,Maroc,1554.27
367,338,2023-07-14,expédié,apple_pay,Sénégal,1639.91
368,393,2023-11-27,livré,cash_on_delivery,Italie,1229.95
369,57,2023-02-14,livré,virement,Espagne,1321.19
370,448,2023-07-16,livré,carte_bancaire,France,223.04
371,293,2024-05-16,en cours,apple_pay,USA,783.31
372,360,2023-08-15,livré,apple_pay,Maroc,107.68
373,7,2024-05-18,expédié,carte_bancaire,Sénégal,425.39
374,411,2024-03-01,en cours,paypal,France,728.24
375,422,2023-03-14,en cours,paypal,Maroc,1062.75
376,484,2023-04-14,livré,virement,Canada,1043.78
377,198,2023-09-12,livré,apple_pay,Espagne,1057.12
378,286,2023-04-19,en cours,apple_pay,Italie,836.22
379,346,2023-04-17,livré,virement,Espagne,1333.83
380,282,2023-06-11,livré,apple_pay,USA,681.65
381,227,2024-07-17,expédié,paypal,Italie,1805.95
382,212,2023-11-28,annulé,apple_pay,Allemagne,866.87
383,289,2024-07-17,livré,paypal,Italie,756.38
384,493,2023-01-01,livré,carte_bancaire,Belgique,1920.05
385,306,2023-11-06,livré,carte_bancaire,Belgique,278.82
386,114,2024-12-07,livré,paypal,Canada,636.66
387,262,2023-06-08,livré,carte_bancaire,France,1852.59
388,236,2024-01-11,livré,apple_pay,Allemagne,285.43
389,120,2024-08-07,livré,cash_on_delivery,USA,607.6
390,470,2023-11-29,livré,cash_on_delivery,Espagne,163.63
391,250,2024-08-13,annulé,carte_bancaire,USA,1382.29
392,329,2024-08-13,livré,cash_on_delivery,Maroc,1464.27
393,400,2023-12-23,livré,cash_on_delivery,Tunisie,1544.09
394,477,2023-08-21,remboursé,apple_pay,France,1740.88
395,325,2023-11-09,annulé,apple_pay,France,771.15
396,164,2024-05-29,livré,virement,Espagne,307.66
397,26,2024-04-01,en cours,apple_pay,USA,1994.76
398,259,2024-02-08,livré,virement,Espagne,869.55
399,173,2023-02-20,livré,apple_pay,Tunisie,1147.17
400,135,2024-12-15,livré,virement,Espagne,1008.63
401,247,2024-10-29,livré,apple_pay,Allemagne,980.84
402,288,2023-09-10,en cours,virement,Maroc,1473.98
403,137,2024-08-12,annulé,carte_bancaire,Maroc,653.59
404,344,2023-07-15,livré,paypal,Italie,736.88
405,305,2023-06-23,en cours,paypal,USA,1541.67
406,421,2023-05-30,expédié,cash_on_delivery,France,890.0
407,474,2024-01-18,annulé,virement,Maroc,407.37
408,58,2024-09-27,en cours,virement,Belgique,493.67
409,8,2023-11-09,livré,cash_on_delivery,Sénégal,1610.52
410,12,2023-08-05,livré,virement,Canada,1482.63
411,268,2024-09-29,annulé,virement,France,1102.11
412,193,2023-02-14,livré,paypal,Espagne,1330.42
413,31,2024-09-24,livré,paypal,France,1580.49
414,239,2024-02-02,en cours,paypal,Italie,26.59
415,443,2024-10-26,livré,cash_on_delivery,Allemagne,592.07
416,195,2023-11-20,livré,cash_on_delivery,USA,1422.28
417,273,2024-04-13,livré,apple_pay,France,405.76
418,21,2023-12-08,livré,cash_on_delivery,Tunisie,1063.54
419,382,2023-12-27,livré,paypal,Belgique,700.09
420,121,2023-10-10,expédié,carte_bancaire,Belgique,1957.39
421,450,2023-01-31,livré,apple_pay,Belgique,1999.9
422,116,2024-11-03,livré,virement,Maroc,1795.38
423,374,2024-09-19,livré,virement,Tunisie,1921.61
424,124,2023-11-16,livré,apple_pay,Italie,858.67
425,230,2023-05-22,livré,apple_pay,Canada,421.45
426,351,2023-11-13,annulé,apple_pay,Espagne,1726.55
427,221,2023-05-29,expédié,apple_pay,Espagne,1951.8
428,163,2023-05-02,livré,virement,Italie,1070.59
429,430,2023-11-23,remboursé,cash_on_delivery,Tunisie,1456.89
430,156,2024-10-14,livré,paypal,Espagne,1868.2
431,399,2023-01-27,livré,apple_pay,USA,271.78
432,137,2024-09-02,en cours,virement,Allemagne,1228.6
433,352,2024-05-03,livré,virement,Canada,168.16
434,434,2024-01-18,en cours,virement,Tunisie,1426.92
435,252,2023-08-20,livré,carte_bancaire,Tunisie,335.93
436,392,2024-02-27,expédié,virement,Allemagne,1851.62
437,388,2024-03-25,livré,apple_pay,Sénégal,362.39
438,353,2023-09-10,livré,cash_on_delivery,Tunisie,920.51
439,398,2024-01-25,livré,paypal,Tunisie,1473.31
440,314,2024-07-03,expédié,apple_pay,France,1148.15
441,267,2023-02-13,livré,virement,Canada,919.23
442,276,2024-07-25,livré,cash_on_delivery,Canada,1472.99
443,392,2023-10-26,en cours,cash_on_delivery,Tunisie,108.1
444,453,2024-04-17,livré,virement,Tunisie,1656.97
445,151,2024-06-13,en cours,virement,Sénégal,118.55
446,425,2024-05-27,en cours,carte_bancaire,Espagne,189.98
447,399,2024-07-13,livré,virement,Tunisie,1789.71
448,212,2024-04-09,livré,apple_pay,Allemagne,59.58
449,452,2024-12-09,livré,virement,Maroc,507.66
450,47,2024-01-07,livré,carte_bancaire,Canada,904.3
451,363,2024-06-07,livré,apple_pay,Espagne,1584.22
452,194,2023-06-24,livré,paypal,USA,97.37
453,447,2023-05-29,en cours,virement,France,308.68
454,215,2024-04-01,livré,paypal,Espagne,1463.02
455,61,2023-01-04,remboursé,apple_pay,Belgique,1921.26
456,7,2024-07-10,livré,carte_bancaire,USA,1712.27
457,452,2024-11-06,livré,cash_on_delivery,Sénégal,441.58
458,210,2023-01-07,livré,virement,Canada,1206.42
459,143,2023-08-01,en cours,carte_bancaire,Espagne,1119.52
460,76,2023-05-29,livré,carte_bancaire,USA,704.55
461,430,2023-03-31,en cours,carte_bancaire,Maroc,668.91
462,214,2023-10-19,expédié,apple_pay,USA,331.06
463,294,2024-04-11,annulé,apple_pay,Italie,363.06
464,477,2023-11-27,livré,paypal,Tunisie,1539.34
465,420,2024-07-17,livré,carte_bancaire,Belgique,860.37
466,242,2023-10-09,livré,paypal,Canada,1392.29
467,212,2024-09-18,livré,carte_bancaire,Maroc,1394.7
468,293,2023-03-31,en cours,cash_on_delivery,USA,1261.67
469,479,2024-03-13,annulé,apple_pay,Italie,1416.54
470,133,2023-12-29,livré,virement,USA,1990.1
471,289,2024-05-24,livré,cash_on_delivery,Espagne,1461.08
472,453,2023-07-18,en cours,carte_bancaire,Maroc,1420.09
